Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
41	U00000206	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.45	0.27	0.01	0.00	0.02	down	down	down	3.42E-07	0.0639	0.0019	0.0008	0.0079
42	U00000394	Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	0.01	0.00	0.03	0.89	0.02	up	up	up	6.29E-07	0.1681	0.0779	0.0001	0.1681
43	U00005559	Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	0.24	0.10	0.00	0.01	0.06	down	down	down	4.96E-05	0.0423	0.0350	0.1236	1.0000
44	U00801961	; ; ; ; 	0.48	0.20	0.00	0.00	0.00	down	down	down	5.27E-07	0.1390	0.0060	0.0147	0.0060
45	U00000163	Fusobacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium	0.00	0.03	4.49	2.83	0.00	up	up	down	1.14E-08	1.0000	0.0001	0.0001	0.3681
46	U00000475	Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; 	0.01	0.06	0.06	0.04	0.37	down	down	up	1.76E-04	0.1008	0.9356	1.0000	0.0069
47	U00002212	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia	0.15	0.56	0.03	0.25	0.52	down	down	down	4.85E-05	0.0168	0.0004	0.0640	0.9097
48	U00000207	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	0.91	0.87	0.01	0.78	2.65	down	down	up	6.11E-06	0.7337	0.0001	0.0257	0.1212
49	U00003193	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	0.16	2.68	6.23	5.49	2.95	up	up	up	4.34E-06	0.0022	0.0036	0.0091	0.1212
50	U00001239	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.51	0.24	0.01	0.14	0.06	down	down	down	3.74E-05	0.0257	0.0025	0.4256	0.0695
51	U00008680	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.01	0.72	0.00	0.02	0.00	down	down	down	7.92E-05	0.0063	0.0008	0.0033	0.0014
52	U00000020	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.00	0.00	0.41	0.09	0.00	up	up	up	3.72E-06	0.3681	0.0002	0.0022	0.3681
53	U00000396	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.35	0.32	0.00	0.00	0.51	down	down	up	2.19E-06	0.9698	0.0002	0.0002	0.9096
54	U00026273	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.01	0.56	0.00	0.00	0.00	down	down	down	2.13E-07	0.0008	0.0002	0.0002	0.0002
55	U00029306	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes	0.94	0.01	0.00	0.00	0.00	down	down	down	3.90E-09	0.0001	0.3681	0.3681	0.3681
56	U00000691	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	0.53	0.09	0.00	0.06	0.00	down	down	down	2.49E-06	0.0016	0.0149	0.8717	0.0503
57	U00463956	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus	0.15	0.01	0.00	0.00	0.00	down	down	down	5.38E-06	0.0025	0.3681	0.3681	1.0000
58	U00804005	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.05	0.23	0.00	0.00	0.00	down	down	down	9.94E-06	0.0695	0.0008	0.0008	0.0008
59	U00438597	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.06	0.24	0.00	0.00	0.03	down	down	down	3.95E-06	0.0036	0.0002	0.0004	0.0023
60	U01142112	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.11	0.00	0.00	0.00	0.00	down	up	down	4.83E-05	0.0049	0.3681	1.0000	0.3681
61	U00164605	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.34	0.00	0.00	0.00	0.00	up	same	same	1.14E-06	0.0008	0.3681	NaN	NaN
62	U00025753	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Moryella	0.04	0.12	0.00	0.00	0.38	down	down	up	2.97E-06	0.0460	0.0060	0.0187	0.0306
63	U00000012	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.29	0.03	0.00	0.00	0.01	down	down	down	2.33E-04	0.0317	0.0350	0.1012	0.2083
64	U00013476	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.40	1.64	0.00	0.01	0.21	down	down	down	7.26E-07	0.0073	0.0001	0.0001	0.0013
65	U00808065	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.17	0.04	0.00	0.00	0.00	down	down	down	4.38E-06	0.0155	0.0779	0.2343	0.0779
66	U00000879	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Clostridium XlVa	1.62	0.82	0.03	0.92	0.55	down	up	down	5.42E-06	0.0140	0.0001	0.8501	0.0452
67	U00002256	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; 	0.21	0.04	0.00	0.00	0.00	down	down	down	9.27E-06	0.0213	0.1681	0.1681	0.1681
68	U00001450	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiracea_incertae_sedis	0.03	0.00	0.17	0.02	0.01	up	up	up	5.94E-05	0.0779	0.0002	0.0149	0.0779
69	U00002066	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Moryella	0.30	0.30	0.00	0.06	0.43	down	down	up	2.48E-05	0.8501	0.0004	0.0092	0.2897
70	U00453464	Firmicutes; ; ; ; 	0.17	0.00	0.00	0.00	0.00	down	down	down	1.15E-07	0.0009	0.3681	0.3681	0.3681
71	U00042653	; ; ; ; 	0.27	0.00	0.00	0.00	0.01	same	same	up	4.77E-09	0.0001	NaN	NaN	0.3681
72	U00164256	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Clostridium XlVb	0.23	0.20	0.00	0.00	0.00	down	down	down	1.64E-08	0.6776	0.0002	0.0002	0.0002
73	U01130390	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Clostridium XlVb	0.00	0.25	0.00	0.00	0.00	down	down	down	1.83E-07	0.0008	0.0008	0.0008	0.0008
74	U00000550	; ; ; ; 	0.00	0.00	0.34	0.67	0.00	up	up	same	5.41E-09	0.3681	0.0001	0.0001	NaN
